register_date,accept_date,cancel_date,active,activity_sector,uf,life_days,register_year,cancel_year
1969-04-02,1911-05-01,INEXISTENTE,1,METALURGIA E SIDERURGIA,MG,18103,1969,INEXISTENTE
1974-10-17,INEXISTENTE,2005-03-22,0,TEXTIL E VESTUÁRIO,PE,11110,1974,2005
1980-06-28,INEXISTENTE,2010-01-04,0,"Máquinas, Equipamentos, Veículos e Peças",RJ,10776,1980,2010
1996-10-10,INEXISTENTE,1997-03-03,0,EMP. ADM. PARTICIPAÇÕES,RJ,148,1996,1997
1976-06-05,INEXISTENTE,1989-05-12,0,EMP. ADM. PARTICIPAÇÕES,RJ,4722,1976,1989
1979-12-29,INEXISTENTE,1986-11-10,0,EMP. ADM. PARTICIPAÇÕES,PA,2506,1979,1986
1995-01-06,INEXISTENTE,2003-01-13,0,EMP. ADM. PARTICIPAÇÕES,RJ,2927,1995,2003
1980-06-23,INEXISTENTE,1993-08-03,0,EMP. ADM. PARTICIPAÇÕES,SP,4785,1980,1993
1981-08-17,1974-12-22,2009-02-20,0,ALIMENTOS,SP,10043,1981,2009
1986-07-31,INEXISTENTE,2007-08-07,0,TEXTIL E VESTUÁRIO,PR,7671,1986,2007
1973-10-19,INEXISTENTE,2005-08-09,0,"Construção Civil, Mat. Constr. e Decoração",PA,11610,1973,2005
1971-09-28,1966-06-30,2010-05-19,0,BEBIDAS E FUMO,MA,14106,1971,2010
1972-11-21,INEXISTENTE,2002-11-30,0,EXTRAÇÃO MINERAL,MG,10959,1972,2002
1985-01-23,INEXISTENTE,1991-08-13,0,ALIMENTOS,RS,2390,1985,1991
1977-07-20,INEXISTENTE,1989-04-14,0,PESCA,SP,4284,1977,1989
1996-05-15,1943-07-20,2010-01-04,0,Petroquímicos e Borracha,RN,4979,1996,2010
1982-08-11,INEXISTENTE,2010-01-04,0,TEXTIL E VESTUÁRIO,SP,10003,1982,2010
1977-07-20,INEXISTENTE,1997-10-24,0,Serviços Transporte e Logística,RJ,7394,1977,1997
1935-09-20,INEXISTENTE,1990-08-03,0,Petroquímicos e Borracha,SP,20028,1935,1990
1971-10-19,INEXISTENTE,1995-11-27,0,EXTRAÇÃO MINERAL,PE,8798,1971,1995
1997-12-04,INEXISTENTE,1999-11-04,0,EMP. ADM. PARTICIPAÇÕES,SP,700,1997,1999
1950-09-29,INEXISTENTE,1988-04-27,0,METALURGIA E SIDERURGIA,SP,13718,1950,1988
1972-01-20,INEXISTENTE,2001-03-16,0,ENERGIA ELÉTRICA,SP,10641,1972,2001
1969-06-11,1945-12-28,2007-01-09,0,Petroquímicos e Borracha,SP,13718,1969,2007
1973-11-22,INEXISTENTE,1997-07-24,0,SERVICOS DIVERSOS,RJ,8642,1973,1997
2001-03-07,1998-11-03,2009-08-17,0,PETRÓLEO E GÁS,RJ,3080,2001,2009
2002-04-18,2000-12-01,INEXISTENTE,1,ENERGIA ELÉTRICA,SP,6042,2002,INEXISTENTE
1977-07-20,INEXISTENTE,1991-09-25,0,Petroquímicos e Borracha,BA,5175,1977,1991
1977-07-20,INEXISTENTE,1994-04-15,0,Serviços Transporte e Logística,SP,6110,1977,1994
1966-06-29,INEXISTENTE,2010-01-04,0,TEXTIL E VESTUÁRIO,RJ,15885,1966,2010
2003-08-21,2000-10-18,INEXISTENTE,1,SECURITIZAÇÃO DE RECEBÍVEIS,RS,5554,2003,INEXISTENTE
1977-10-20,INEXISTENTE,1992-11-26,0,Petroquímicos e Borracha,BA,5511,1977,1992
1950-08-17,INEXISTENTE,1990-12-19,0,Petroquímicos e Borracha,RS,14722,1950,1990
1997-12-19,1965-12-21,INEXISTENTE,1,"Saneamento, Serv. Água e Gás",RS,7626,1997,INEXISTENTE
1969-03-21,INEXISTENTE,2000-12-28,0,TELECOMUNICAÇÕES,RS,11592,1969,2000
1982-08-10,INEXISTENTE,1986-07-16,0,EXTRAÇÃO MINERAL,RJ,1436,1982,1986
1994-06-27,1973-09-06,INEXISTENTE,1,"Saneamento, Serv. Água e Gás",SP,8893,1994,INEXISTENTE
1977-07-20,INEXISTENTE,2001-03-22,0,PAPEL E CELULOSE,SP,8642,1977,2001
1977-07-20,1900-01-15,INEXISTENTE,1,SEGURADORAS E CORRETORAS,BA,15075,1977,INEXISTENTE
1977-07-20,INEXISTENTE,1992-03-06,0,SEGURADORAS E CORRETORAS,SP,5341,1977,1992
1977-07-20,INEXISTENTE,1997-07-02,0,SEGURADORAS E CORRETORAS,RJ,7282,1977,1997
1977-07-20,1938-05-03,2009-10-14,0,SEGURADORAS E CORRETORAS,MG,11764,1977,2009
1985-10-21,INEXISTENTE,1990-01-16,0,SEGURADORAS E CORRETORAS,PR,1550,1985,1990
1977-07-20,INEXISTENTE,1998-01-08,0,"Construção Civil, Mat. Constr. e Decoração",RJ,7473,1977,1998
1982-09-29,INEXISTENTE,1994-03-18,0,METALURGIA E SIDERURGIA,AL,4189,1982,1994
1972-08-09,INEXISTENTE,1995-03-21,0,METALURGIA E SIDERURGIA,RS,8257,1972,1995
1971-01-06,INEXISTENTE,1997-06-30,0,METALURGIA E SIDERURGIA,MG,9664,1971,1997
1970-10-20,INEXISTENTE,1999-09-22,0,METALURGIA E SIDERURGIA,AM,10557,1970,1999
1971-10-07,INEXISTENTE,2005-03-22,0,METALURGIA E SIDERURGIA,SP,12215,1971,2005
1943-02-26,1941-04-09,INEXISTENTE,1,METALURGIA E SIDERURGIA,SP,27629,1943,INEXISTENTE
1977-07-20,INEXISTENTE,1991-04-09,0,COMÉRCIO (ATACADO E VAREJO),RJ,5009,1977,1991
1971-02-11,1967-12-05,INEXISTENTE,1,TEXTIL E VESTUÁRIO,MG,17424,1971,INEXISTENTE
1984-12-20,1891-10-23,INEXISTENTE,1,TEXTIL E VESTUÁRIO,MG,12370,1984,INEXISTENTE
1999-09-08,1960-09-09,2008-01-15,0,"Construção Civil, Mat. Constr. e Decoração",SP,3052,1999,2008
1977-10-20,INEXISTENTE,1999-11-30,0,TELECOMUNICAÇÕES,SP,8070,1977,1999
1981-05-20,INEXISTENTE,2000-02-28,0,TELECOMUNICAÇÕES,RS,6853,1981,2000
1968-09-11,INEXISTENTE,1990-01-02,0,TELECOMUNICAÇÕES,RJ,7781,1968,1990
1996-10-22,INEXISTENTE,1999-05-13,0,EMP. ADM. PARTICIPAÇÕES,SP,936,1996,1999
1971-10-19,INEXISTENTE,1999-03-08,0,TEXTIL E VESTUÁRIO,PA,9999,1971,1999
1973-12-27,INEXISTENTE,2004-07-14,0,HOSPEDAGEM E TURISMO,GO,11152,1973,2004
1977-07-20,INEXISTENTE,1998-11-09,0,SEGURADORAS E CORRETORAS,RJ,7774,1977,1998
1966-05-02,INEXISTENTE,1993-11-29,0,BEBIDAS E FUMO,RS,10062,1966,1993
1970-11-24,INEXISTENTE,2005-08-09,0,Petroquímicos e Borracha,SC,12670,1970,2005
1968-06-27,1959-05-02,2008-07-17,0,PETRÓLEO E GÁS,RJ,14620,1968,2008
1971-12-22,INEXISTENTE,2004-04-07,0,EXTRAÇÃO MINERAL,SP,11790,1971,2004
2000-03-10,1963-01-23,INEXISTENTE,1,"Saneamento, Serv. Água e Gás",PR,6810,2000,INEXISTENTE
1997-11-17,1969-05-28,INEXISTENTE,1,"Saneamento, Serv. Água e Gás",RJ,7658,1997,INEXISTENTE
1977-07-20,1967-06-22,2014-10-09,0,ALIMENTOS,PR,13584,1977,2014
1999-05-31,1997-07-31,INEXISTENTE,1,SECURITIZAÇÃO DE RECEBÍVEIS,SP,7094,1999,INEXISTENTE
1977-07-20,INEXISTENTE,1994-01-27,0,ALIMENTOS,SP,6032,1977,1994
1987-09-22,1987-05-22,2007-01-09,0,TEXTIL E VESTUÁRIO,RS,7047,1987,2007
1978-03-28,INEXISTENTE,2006-05-22,0,ALIMENTOS,PE,10274,1978,2006
1996-05-24,1996-02-23,2008-03-18,0,SECURITIZAÇÃO DE RECEBÍVEIS,PR,4314,1996,2008
2009-06-25,1995-11-23,INEXISTENTE,1,INTERMEDIAÇÃO FINANCEIRA,SP,3420,2009,INEXISTENTE
1971-09-29,INEXISTENTE,2005-08-09,0,METALURGIA E SIDERURGIA,BA,12360,1971,2005
1969-09-08,INEXISTENTE,1995-12-08,0,EXTRAÇÃO MINERAL,SP,9580,1969,1995
1969-07-04,INEXISTENTE,1994-09-26,0,EXTRAÇÃO MINERAL,MG,9207,1969,1994
1971-07-23,INEXISTENTE,1988-03-11,0,EXTRAÇÃO MINERAL,MS,6073,1971,1988
1989-11-13,INEXISTENTE,1997-12-23,0,EXTRAÇÃO MINERAL,RJ,2960,1989,1997
1968-06-05,INEXISTENTE,1995-06-14,0,EXTRAÇÃO MINERAL,SP,9864,1968,1995
1952-06-04,INEXISTENTE,1990-07-24,0,EXTRAÇÃO MINERAL,SP,13920,1952,1990
1970-03-23,INEXISTENTE,1993-04-23,0,EXTRAÇÃO MINERAL,DF,8425,1970,1993
1983-04-14,INEXISTENTE,1990-11-28,0,"Construção Civil, Mat. Constr. e Decoração",RJ,2779,1983,1990
2012-06-13,1949-04-13,2017-08-22,0,"Construção Civil, Mat. Constr. e Decoração",RJ,1894,2012,2017
1972-01-27,INEXISTENTE,2005-04-12,0,METALURGIA E SIDERURGIA,MG,12120,1972,2005
1984-05-31,INEXISTENTE,1992-11-18,0,EXTRAÇÃO MINERAL,SP,3087,1984,1992
1977-07-20,1972-01-01,2012-07-09,0,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",SP,12764,1977,2012
1995-03-14,1994-10-21,INEXISTENTE,1,Emp. Adm. Part. - Sem Setor Principal,RJ,8631,1995,INEXISTENTE
2016-07-20,2005-05-24,INEXISTENTE,1,BRINQUEDOS E LAZER,PR,840,2016,INEXISTENTE
1982-11-23,INEXISTENTE,1991-07-19,0,ALIMENTOS,CE,3161,1982,1991
1991-10-14,1990-08-22,2010-01-04,0,COMÉRCIO (ATACADO E VAREJO),SC,6655,1991,2010
1969-01-22,INEXISTENTE,1990-06-20,0,Petroquímicos e Borracha,BA,7813,1969,1990
1983-04-15,INEXISTENTE,2004-05-26,0,TEXTIL E VESTUÁRIO,SC,7706,1983,2004
1997-12-16,1988-01-01,2002-10-29,0,SERVICOS DIVERSOS,SP,1778,1997,2002
1983-04-14,1976-07-30,2004-05-19,0,ARRENDAMENTO MERCANTIL,SP,7700,1983,2004
2008-01-03,1976-04-30,2010-03-30,0,ARRENDAMENTO MERCANTIL,SP,817,2008,2010
1977-07-20,INEXISTENTE,1988-02-23,0,COMÉRCIO (ATACADO E VAREJO),SP,3868,1977,1988
1999-11-26,1988-10-12,2014-12-18,0,"AGRICULTURA (AÇUCAR, ALCOOL E CANA)",MT,5497,1999,2014
2014-12-05,2004-09-27,INEXISTENTE,1,Emp. Adm. Part. - Telecomunicações,SP,1435,2014,INEXISTENTE
1969-09-17,INEXISTENTE,1992-12-29,0,"Máquinas, Equipamentos, Veículos e Peças",SP,8497,1969,1992
1999-09-21,1999-02-22,2006-10-20,0,SERVIÇOS MÉDICOS,SC,2584,1999,2006
1995-08-07,1995-02-07,2003-10-31,0,EMP. ADM. PARTICIPAÇÕES,RJ,3004,1995,2003
1988-06-24,INEXISTENTE,2005-05-17,0,EMP. ADM. PARTICIPAÇÕES,SP,6168,1988,2005
1986-07-12,INEXISTENTE,1992-08-04,0,EMP. ADM. PARTICIPAÇÕES,RJ,2212,1986,1992
1986-07-02,INEXISTENTE,2007-02-14,0,TEXTIL E VESTUÁRIO,CE,7527,1986,2007
2001-10-29,2000-07-31,2012-02-27,0,TELECOMUNICAÇÕES,RJ,3773,2001,2012
1973-10-02,INEXISTENTE,2005-12-20,0,COMÉRCIO (ATACADO E VAREJO),SP,11758,1973,2005
1979-12-12,1944-09-19,INEXISTENTE,1,"Máquinas, Equipamentos, Veículos e Peças",SP,14203,1979,INEXISTENTE
1995-12-12,1995-08-22,2006-09-01,0,"Construção Civil, Mat. Constr. e Decoração",CE,3914,1995,2006
1977-07-20,INEXISTENTE,1993-12-14,0,"Construção Civil, Mat. Constr. e Decoração",MG,5984,1977,1993
1977-07-20,1966-07-15,2010-01-04,0,"Construção Civil, Mat. Constr. e Decoração",SP,11849,1977,2010
1977-07-20,INEXISTENTE,2002-04-19,0,"Máquinas, Equipamentos, Veículos e Peças",SP,9034,1977,2002
1969-09-05,INEXISTENTE,2003-11-27,0,METALURGIA E SIDERURGIA,SP,12492,1969,2003
1977-07-20,INEXISTENTE,2004-09-21,0,ALIMENTOS,RN,9916,1977,2004
1985-10-11,INEXISTENTE,2001-11-01,0,"Máquinas, Equipamentos, Veículos e Peças",SP,5860,1985,2001
1977-07-20,INEXISTENTE,1994-03-03,0,"Máquinas, Equipamentos, Veículos e Peças",SP,6068,1977,1994
1989-06-07,INEXISTENTE,1992-11-10,0,EMP. ADM. PARTICIPAÇÕES,SP,1248,1989,1992
1977-07-20,INEXISTENTE,2005-12-20,0,"Máquinas, Equipamentos, Veículos e Peças",MG,10370,1977,2005
1996-07-18,1996-05-20,INEXISTENTE,1,Serviços Transporte e Logística,SP,8142,1996,INEXISTENTE
1972-07-04,INEXISTENTE,2005-12-20,0,"Máquinas, Equipamentos, Veículos e Peças",SP,12211,1972,2005
1969-10-03,INEXISTENTE,1992-03-13,0,BANCOS,SP,8195,1969,1992
1985-01-04,INEXISTENTE,1993-01-12,0,ARRENDAMENTO MERCANTIL,SP,2928,1985,1993
1969-09-18,INEXISTENTE,2006-03-21,0,Emp. Adm. Part. - Intermediação Financeira,SP,13328,1969,2006
1982-12-27,INEXISTENTE,1993-01-21,0,EMP. ADM. PARTICIPAÇÕES,SP,3679,1982,1993
1981-10-28,INEXISTENTE,1992-03-18,0,COMUNICAÇÃO E INFORMÁTICA,SP,3795,1981,1992
1980-12-30,INEXISTENTE,1991-07-09,0,METALURGIA E SIDERURGIA,SP,3844,1980,1991
1975-12-09,INEXISTENTE,2001-04-16,0,TEXTIL E VESTUÁRIO,PA,9257,1975,2001
1972-11-21,1970-04-10,2007-07-19,0,HOSPEDAGEM E TURISMO,SP,12653,1972,2007
1977-07-20,1967-11-30,INEXISTENTE,1,PAPEL E CELULOSE,SP,15075,1977,INEXISTENTE
1993-03-11,INEXISTENTE,2006-03-06,0,METALURGIA E SIDERURGIA,ES,4740,1993,2006
2012-08-03,2010-05-19,2018-08-27,0,Emp. Adm. Part. - Extração Mineral,PR,2214,2012,2018
1970-03-06,INEXISTENTE,2000-01-18,0,BEBIDAS E FUMO,SP,10902,1970,2000
1988-06-15,1926-03-26,2007-11-14,0,METALURGIA E SIDERURGIA,SP,7084,1988,2007
1995-04-04,1981-11-11,INEXISTENTE,1,COMÉRCIO (ATACADO E VAREJO),SP,8611,1995,INEXISTENTE
2016-06-27,2015-06-30,INEXISTENTE,1,SECURITIZAÇÃO DE RECEBÍVEIS,RJ,863,2016,INEXISTENTE
2008-03-14,2006-12-04,INEXISTENTE,1,Emp. Adm. Part. - Energia Elétrica,GO,3886,2008,INEXISTENTE
1939-07-11,1937-03-10,2004-05-21,0,EXTRAÇÃO MINERAL,MG,23675,1939,2004
2000-01-19,1971-07-21,INEXISTENTE,1,"Saneamento, Serv. Água e Gás",CE,6861,2000,INEXISTENTE
1998-12-17,1998-09-14,2013-12-12,0,BEBIDAS E FUMO,SP,5470,1998,2013
2012-11-27,1967-04-17,2016-01-29,0,BANCOS,PR,1162,2012,2016
1993-05-29,INEXISTENTE,2006-02-20,0,METALURGIA E SIDERURGIA,SP,4646,1993,2006
1969-08-11,1883-04-02,INEXISTENTE,1,TEXTIL E VESTUÁRIO,MG,17974,1969,INEXISTENTE
1996-07-03,1968-11-11,INEXISTENTE,1,"Emp. Adm. Part. - Saneamento, Serv. Água e Gás",SP,8157,1996,INEXISTENTE
1996-02-28,1996-01-11,2001-08-20,0,EMP. ADM. PARTICIPAÇÕES,SP,1997,1996,2001
2011-12-30,2008-07-18,INEXISTENTE,1,Serviços Transporte e Logística,SP,2505,2011,INEXISTENTE
1997-09-16,1997-01-01,2008-11-27,0,Emp. Adm. Part. - Sem Setor Principal,SP,4086,1997,2008
2003-09-17,1963-07-05,INEXISTENTE,1,"Saneamento, Serv. Água e Gás",MG,5528,2003,INEXISTENTE
2015-12-21,1989-04-25,INEXISTENTE,1,"Saneamento, Serv. Água e Gás",TO,1054,2015,INEXISTENTE
1994-07-04,1968-12-16,INEXISTENTE,1,ENERGIA ELÉTRICA,DF,8886,1994,INEXISTENTE
1997-11-13,1965-12-31,INEXISTENTE,1,ENERGIA ELÉTRICA,MA,7662,1997,INEXISTENTE
2018-04-27,2017-10-09,INEXISTENTE,1,ENERGIA ELÉTRICA,SC,193,2018,INEXISTENTE
2018-04-27,2017-10-09,INEXISTENTE,1,ENERGIA ELÉTRICA,SC,193,2018,INEXISTENTE
2017-06-22,2013-10-28,INEXISTENTE,1,ENERGIA ELÉTRICA,MT,503,2017,INEXISTENTE
2013-03-26,2010-04-15,2016-01-07,0,Emp. Adm. Part. - Extração Mineral,PR,1016,2013,2016
1972-07-27,1949-01-07,2006-01-06,0,BEBIDAS E FUMO,RJ,12209,1972,2006
1973-12-19,1936-11-12,INEXISTENTE,1,TEXTIL E VESTUÁRIO,MG,16386,1973,INEXISTENTE
2009-03-04,2006-12-01,INEXISTENTE,1,"Emp. Adm. Part. - Agricultura (Açúcar, Álcool e Cana)",MG,3531,2009,INEXISTENTE
1984-12-12,INEXISTENTE,2002-12-09,0,METALURGIA E SIDERURGIA,MG,6567,1984,2002
1994-04-04,1954-10-26,INEXISTENTE,1,ENERGIA ELÉTRICA,PR,8976,1994,INEXISTENTE
2016-04-29,2015-07-16,2018-08-13,0,SECURITIZAÇÃO DE RECEBÍVEIS,PR,834,2016,2018
1969-08-19,1912-01-01,INEXISTENTE,1,ENERGIA ELÉTRICA,SP,17966,1969,INEXISTENTE
2010-07-20,2009-10-15,INEXISTENTE,1,SECURITIZAÇÃO DE RECEBÍVEIS,SP,3030,2010,INEXISTENTE
1973-03-28,INEXISTENTE,2002-12-23,0,METALURGIA E SIDERURGIA,BA,10850,1973,2002
2007-07-25,2005-01-01,2015-12-28,0,Petroquímicos e Borracha,PR,3073,2007,2015
2017-06-14,2017-02-03,INEXISTENTE,1,SECURITIZAÇÃO DE RECEBÍVEIS,SP,511,2017,INEXISTENTE
2018-08-28,2018-04-04,INEXISTENTE,1,SECURITIZAÇÃO DE RECEBÍVEIS,SP,72,2018,INEXISTENTE
2018-08-28,2018-04-05,INEXISTENTE,1,SECURITIZAÇÃO DE RECEBÍVEIS,SP,72,2018,INEXISTENTE
1999-06-14,1999-01-29,2005-04-05,0,METALURGIA E SIDERURGIA,SP,2121,1999,2005
1977-07-20,1923-01-01,2004-06-30,0,PAPEL E CELULOSE,SP,9835,1977,2004
1982-04-19,1981-09-28,INEXISTENTE,1,Emp. Adm. Part. - Crédito Imobiliário,RS,13341,1982,INEXISTENTE
1995-08-11,1994-01-01,2004-04-22,0,ARRENDAMENTO MERCANTIL,RJ,3176,1995,2004
1977-07-20,INEXISTENTE,1993-02-03,0,BEBIDAS E FUMO,AM,5673,1977,1993
1977-07-20,1966-06-14,INEXISTENTE,1,PESCA,SP,15075,1977,INEXISTENTE
1993-11-24,INEXISTENTE,1998-09-25,0,"Máquinas, Equipamentos, Veículos e Peças",SP,1766,1993,1998
2014-10-24,2012-05-08,INEXISTENTE,1,Serviços Transporte e Logística,SP,1476,2014,INEXISTENTE
2016-02-19,2015-12-14,INEXISTENTE,1,Serviços Transporte e Logística,GO,991,2016,INEXISTENTE
1998-08-11,1998-08-11,2017-12-05,0,Serviços Transporte e Logística,RS,7049,1998,2017
1998-01-23,1998-01-22,2009-11-30,0,Serviços Transporte e Logística,RJ,4322,1998,2009
2010-09-20,2008-08-20,INEXISTENTE,1,Serviços Transporte e Logística,RJ,2970,2010,INEXISTENTE
2010-11-22,2008-11-12,INEXISTENTE,1,Serviços Transporte e Logística,SP,2908,2010,INEXISTENTE
2016-03-18,2015-12-16,INEXISTENTE,1,Serviços Transporte e Logística,MG,962,2016,INEXISTENTE
2017-03-06,2007-05-16,INEXISTENTE,1,Serviços Transporte e Logística,MG,609,2017,INEXISTENTE
2011-02-22,2009-04-27,INEXISTENTE,1,Serviços Transporte e Logística,SP,2813,2011,INEXISTENTE
2016-02-03,2014-01-21,INEXISTENTE,1,Emp. Adm. Part. - Serviços Transporte e Logística,MS,1007,2016,INEXISTENTE
2009-11-27,1999-05-28,INEXISTENTE,1,Serviços Transporte e Logística,SP,3268,2009,INEXISTENTE
2007-07-27,1998-03-04,INEXISTENTE,1,Serviços Transporte e Logística,SP,4118,2007,INEXISTENTE
2016-03-02,2013-10-28,INEXISTENTE,1,Serviços Transporte e Logística,MG,978,2016,INEXISTENTE
2006-07-19,1998-05-01,INEXISTENTE,1,Serviços Transporte e Logística,SP,4491,2006,INEXISTENTE
2006-12-18,1998-05-01,INEXISTENTE,1,Serviços Transporte e Logística,SP,4342,2006,INEXISTENTE
2017-05-25,2015-03-24,INEXISTENTE,1,Serviços Transporte e Logística,RJ,530,2017,INEXISTENTE
2001-12-26,1995-11-07,INEXISTENTE,1,Serviços Transporte e Logística,RJ,6159,2001,INEXISTENTE
2004-08-16,1995-10-31,INEXISTENTE,1,Emp. Adm. Part. - Serviços Transporte e Logística,SP,5194,2004,INEXISTENTE
2012-02-09,2009-02-19,INEXISTENTE,1,Serviços Transporte e Logística,SP,2461,2012,INEXISTENTE
2010-06-30,2009-02-09,INEXISTENTE,1,Serviços Transporte e Logística,SP,3050,2010,INEXISTENTE
2016-06-07,2013-12-27,INEXISTENTE,1,Serviços Transporte e Logística,MT,883,2016,INEXISTENTE
1979-11-20,INEXISTENTE,1998-08-07,0,"Construção Civil, Mat. Constr. e Decoração",BA,6832,1979,1998
1972-08-09,INEXISTENTE,1993-09-17,0,"Construção Civil, Mat. Constr. e Decoração",SP,7703,1972,1993
1996-08-16,1996-05-29,2007-01-09,0,"Construção Civil, Mat. Constr. e Decoração",PR,3798,1996,2007
2001-10-08,2000-09-29,2002-12-18,0,EMP. ADM. PARTICIPAÇÕES,SP,435,2001,2002
1980-08-21,1942-04-17,2012-05-11,0,METALURGIA E SIDERURGIA,SP,11580,1980,2012
1981-12-17,INEXISTENTE,2005-12-20,0,METALURGIA E SIDERURGIA,SP,8763,1981,2005
1996-05-17,INEXISTENTE,1999-04-23,0,COMÉRCIO EXTERIOR,SP,1071,1996,1999
1989-09-01,INEXISTENTE,2005-03-22,0,"Máquinas, Equipamentos, Veículos e Peças",CE,5681,1989,2005
1977-07-20,1967-07-07,INEXISTENTE,1,EMBALAGENS,PB,15075,1977,INEXISTENTE
1977-07-20,1908-08-08,INEXISTENTE,1,ALIMENTOS,RS,15075,1977,INEXISTENTE
1977-07-20,1952-08-08,INEXISTENTE,1,Emp. Adm. Part. - Intermediação Financeira,SP,15075,1977,INEXISTENTE
1996-10-14,1996-07-31,2001-06-28,0,"Construção Civil, Mat. Constr. e Decoração",SC,1719,1996,2001
1977-07-20,1958-01-01,INEXISTENTE,1,"Construção Civil, Mat. Constr. e Decoração",SP,15075,1977,INEXISTENTE
1977-07-20,INEXISTENTE,1991-03-06,0,"Construção Civil, Mat. Constr. e Decoração",MG,4976,1977,1991
1988-01-27,INEXISTENTE,1990-12-27,0,"Construção Civil, Mat. Constr. e Decoração",SP,1060,1988,1990
1977-07-20,INEXISTENTE,1991-12-26,0,"Construção Civil, Mat. Constr. e Decoração",SP,5266,1977,1991
1977-07-20,1924-01-06,INEXISTENTE,0,"Construção Civil, Mat. Constr. e Decoração",SP,15075,1977,INEXISTENTE
1984-07-25,INEXISTENTE,1990-01-02,0,"Construção Civil, Mat. Constr. e Decoração",RJ,1987,1984,1990
1986-09-29,1956-03-14,INEXISTENTE,1,"Construção Civil, Mat. Constr. e Decoração",RS,11721,1986,INEXISTENTE
1977-07-20,INEXISTENTE,1998-09-30,0,"Construção Civil, Mat. Constr. e Decoração",SP,7735,1977,1998
1977-07-20,1964-12-31,2016-08-30,0,"Construção Civil, Mat. Constr. e Decoração",SP,14275,1977,2016
1977-07-20,1945-01-01,2002-04-26,0,"Construção Civil, Mat. Constr. e Decoração",RJ,9041,1977,2002
2007-10-11,1994-01-01,INEXISTENTE,1,"Construção Civil, Mat. Constr. e Decoração",SP,4044,2007,INEXISTENTE
1976-01-02,INEXISTENTE,1994-05-16,0,"Máquinas, Equipamentos, Veículos e Peças",SC,6704,1976,1994
2013-10-25,2013-02-15,2015-02-27,0,SECURITIZAÇÃO DE RECEBÍVEIS,PR,492,2013,2015
1991-04-26,1953-03-06,2010-01-04,0,TEXTIL E VESTUÁRIO,RJ,6823,1991,2010
1982-01-11,INEXISTENTE,1997-07-29,0,"Construção Civil, Mat. Constr. e Decoração",MG,5673,1982,1997
2008-08-07,2007-12-29,2011-12-31,0,Emp. Adm. Part. - Sem Setor Principal,SP,1239,2008,2011
1977-07-20,1951-04-20,2010-01-04,0,METALURGIA E SIDERURGIA,PA,11849,1977,2010
1982-09-28,INEXISTENTE,2005-04-19,0,EMP. ADM. PARTICIPAÇÕES,BA,8236,1982,2005
2011-07-19,2008-07-17,2011-08-12,0,"AGRICULTURA (AÇUCAR, ALCOOL E CANA)",SP,23,2011,2011
1992-11-11,1976-06-08,2007-10-17,0,Petroquímicos e Borracha,RS,5451,1992,2007
2018-10-26,2018-02-16,INEXISTENTE,1,SECURITIZAÇÃO DE RECEBÍVEIS,RJ,14,2018,INEXISTENTE
1980-09-10,INEXISTENTE,2007-08-07,0,TEXTIL E VESTUÁRIO,RS,9822,1980,2007
1971-07-28,INEXISTENTE,2005-12-20,0,Petroquímicos e Borracha,SP,12552,1971,2005
1977-07-20,1926-01-02,INEXISTENTE,1,"Construção Civil, Mat. Constr. e Decoração",BA,15075,1977,INEXISTENTE
2007-07-16,1989-11-16,2010-06-04,0,"AGRICULTURA (AÇUCAR, ALCOOL E CANA)",SP,1053,2007,2010
2014-09-11,2012-04-23,INEXISTENTE,1,Serviços Transporte e Logística,SP,1519,2014,INEXISTENTE
2005-10-26,2000-02-01,INEXISTENTE,1,"AGRICULTURA (AÇUCAR, ALCOOL E CANA)",SP,4759,2005,INEXISTENTE
1985-01-16,1980-10-07,2013-03-25,0,"AGRICULTURA (AÇUCAR, ALCOOL E CANA)",SP,10289,1985,2013
1923-05-23,INEXISTENTE,1988-10-19,0,TEXTIL E VESTUÁRIO,SP,23871,1923,1988
1981-10-28,INEXISTENTE,2005-12-20,0,TEXTIL E VESTUÁRIO,PE,8812,1981,2005
2002-01-22,1999-08-20,2011-03-21,0,Emp. Adm. Part. - Extração Mineral,RJ,3344,2002,2011
2000-05-18,1998-03-20,INEXISTENTE,1,Emp. Adm. Part. - Energia Elétrica,SP,6742,2000,INEXISTENTE
2007-03-08,2006-10-02,INEXISTENTE,1,Emp. Adm. Part. - Energia Elétrica,SP,4257,2007,INEXISTENTE
2001-06-07,2000-07-19,INEXISTENTE,1,ENERGIA ELÉTRICA,SP,6358,2001,INEXISTENTE
2006-09-21,1912-01-01,2007-10-24,0,ENERGIA ELÉTRICA,SP,398,2006,2007
2006-09-22,1982-01-01,2007-09-04,0,COMUNICAÇÃO E INFORMÁTICA,SP,347,2006,2007
2005-02-16,2004-11-03,2009-07-29,0,SECURITIZAÇÃO DE RECEBÍVEIS,RJ,1623,2005,2009
2007-04-16,2006-01-10,INEXISTENTE,1,"Construção Civil, Mat. Constr. e Decoração",RJ,4219,2007,INEXISTENTE
1981-10-02,INEXISTENTE,1987-07-01,0,SERVICOS DIVERSOS,SP,2099,1981,1987
1980-09-22,INEXISTENTE,1987-08-25,0,ARRENDAMENTO MERCANTIL,SP,2528,1980,1987
1969-08-20,INEXISTENTE,2004-05-07,0,TEXTIL E VESTUÁRIO,SC,12672,1969,2004
